PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
00s16,rBbqk2r/1p3ppp/p3pn2/8/1b1P4/2N2N1P/PP3PP1/R2QKB1R b KQkq - 0 10,a8b8 d1a4 b7b5 a4b4,1187,81,91,730,crushing fork opening short,https://lichess.org/sflO7yGm/black#19,Caro-Kann_Defense Caro-Kann_Defense_Panov_Attack
00s23,r2q1rk1/1ppb1ppp/1p1p1n2/4p3/1PBnP3/P2P1N1P/2P2PP1/R1BQK2R w KQ - 0 11,c2c3 d7a4 c3d4 a4d1,1810,76,74,176,advantage opening short,https://lichess.org/5BuuOtXQ#20,Four_Knights_Game Four_Knights_Game_Italian_Variation
00s3U,r7/7p/1p1p1kp1/1P2p3/2BpPp2/2nP1P1P/1R3KP1/8 b - - 0 38,a8a2 b2a2 c3a2 c4a2,1893,75,86,350,advantage endgame short,https://lichess.org/SLPNDjCm/black#75,
00s9L,2r1r1k1/5pp1/Rb3q1p/1p2p3/3pP3/1N1P1PP1/3Q1P2/2R3K1 b - - 0 25,f6d8 c1c8 d8c8 a6b6,1145,77,87,876,advantage middlegame short,https://lichess.org/QuuF4iDz/black#49,
00s9T,8/8/p5pp/2k5/2p4P/2K2P2/P5P1/8 w - - 0 41,g2g4 g6g5 h4g5 h6g5,2135,77,89,966,crushing endgame pawnEndgame short,https://lichess.org/7CRQFCUf#80,
00sBK,3r2k1/p4p1p/1p3qp1/3B1b2/8/1Qr1PP1P/P2R1KP1/7R w - - 0 23,d5f7 g8g7 b3c3 f6c3,1815,75,85,80,advantage defensiveMove middlegame short,https://lichess.org/nMNDAjGq#44,
00sCv,8/8/1p5p/p1k5/P3K3/1P5P/8/8 w - - 1 49,e4f5 c5b4 f5g6 b4b3 g6h6 b3a4,1107,80,93,346,crushing endgame long pawnEndgame,https://lichess.org/aUCW3BUV#96,
00sDQ,2r2rk1/5p2/1pn1pPp1/1B1pP3/5q2/4b2R/1B4QP/R6K b - - 3 31,f4f2 g2f2 e3f2 a1f1,2614,86,70,99,advantage middlegame short,https://lichess.org/eDAqXjpA/black#61,
00sHx,q3k1nr/1pp1nQpp/3p4/1P2p3/4P3/B1PP1b2/B5PP/5K2 b k - 0 17,e8d7 a2e6 d7d8 f7f8,1653,78,84,104,mate mateIn2 middlegame short,https://lichess.org/yyznGmXs/black#33,Italian_Game Italian_Game_Classical_Variation
00sJ9,r3r1k1/p4ppp/2p2n2/1p6/3P1qb1/2NQR3/PPB2PP1/R1B3K1 w - - 5 18,e3g3 e8e1 g1h2 e1c1 a1c1 f4h6 h2g1 h6c1,2477,111,89,494,advantage attraction fork middlegame sacrifice veryLong,https://lichess.org/gyFeQsOE#34,French_Defense French_Defense_Exchange_Variation
00sJb,Q1b2r1k/p2np2p/5bp1/q7/5P2/4B3/PPP3PP/2KR1B1R w - - 1 17,d1d7 a5e1 d7d1 e1e3 c1b1 e3b6,2227,77,87,481,advantage fork long middlegame,https://lichess.org/kiuvTFoE#32,Sicilian_Defense Sicilian_Defense_Dragon_Variation
00sMF,r1bqr1k1/p4pPp/2p1p3/2bpn2Q/8/2NB4/PPP3PP/R1B2R1K b - - 2 15,e5d3 h5f7,846,80,96,124,kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/A0iotLWB/black#29,Sicilian_Defense Sicilian_Defense_Closed
00sO1,1k1r4/pp3pp1/2p1p3/4b3/P3n1P1/8/KPP2PN1/3rBR1R b - - 2 31,b8c7 e1a5 b7b6 f1d1,923,87,95,358,advantage discoveredAttack master middlegame short,https://lichess.org/vsfFkG0s/black#61,
00sQw,8/8/2bk4/p3pB2/5P1p/P2KP3/8/8 w - - 1 40,d3c4 e5f4 e3f4 c6d7 f5d7 d6d7,2368,79,99,231,bishopEndgame crushing endgame long,https://lichess.org/b3xSt9cD#78,
00sTO,4rk2/pp3pRp/3p1P2/2pP3q/2P4r/6Q1/PP3P1P/7K b - - 2 28,h5d1 h1g2 d1g4 g7g4 h4g4 g3g4,1493,75,94,3270,crushing endgame long,https://lichess.org/iOcIh2s8/black#55,
00sXv,8/r4pp1/2k1p2p/8/p2PP3/2K2PP1/6P1/1R6 w - - 1 35,c3b4 a7b7 b4a4 b7b1,1122,77,75,102,crushing endgame rookEndgame short skewer,https://lichess.org/zR7ytIpT#68,
00sco,r2q1rk1/pp2bp1b/2p1p2Q/3nP2N/2B5/2P5/PP3PPP/R3R1K1 b - - 2 20,e7g5 h6g7,1154,148,-33,14,mate mateIn1 middlegame oneMove,https://lichess.org/4HkYGyHF/black#39,
00sd6,r2brk1Q/pp3pp1/1q1pb1n1/1Bp1p1P1/4P3/P1PPBN2/5P2/1R2K2R b K - 10 26,g6h8 h1h8 f8e7 h8e8,1222,75,93,438,mate mateIn2 middlegame short,https://lichess.org/970jZM32/black#51,
00slf,1k2Rr2/p1pp4/1p1b4/3Q1pP1/qP3P2/2P4P/6K1/4R3 b - - 5 41,f8e8 e1e8,998,165,-50,13,endgame mate mateIn1 oneMove,https://lichess.org/HpuY1k0j/black#81,
00slx,8/6r1/3kpRp1/6Pp/3K1P1P/8/8/8 b - - 0 61,d6e7 d4e5 g7g8 f6e6 e7f7 f4f5,2041,75,93,8632,crushing endgame long rookEndgame,https://lichess.org/usaxh789/black#121,
00sw5,3r2k1/1p3pp1/pq1b3p/3P4/P7/3Q1N2/1r3PPP/R2R2K1 w - - 0 23,a1b1 b6f2 g1h1 f2g2,1264,78,94,1565,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/TMsj324P#44,
00sys,r1bq1r2/pp2b1pk/2n1pp2/3p4/2pP3N/2P1P1P1/PP1N1PP1/R2QK2R b KQ - 0 13,d8e8 h4g6 h7g8 h1h8 g8f7 d1h5,2382,79,93,78,crushing discoveredAttack long opening,https://lichess.org/oeasr2cR/black#25,Indian_Defense Indian_Defense_London_System
00t2W,r3r1k1/p4ppp/2p5/5q2/2RPn3/3Q2B1/P4PPP/4R1K1 w - - 3 27,f2f3 e4g3 e1e8 a8e8 d3f5 g3f5,1364,74,95,5319,crushing long middlegame,https://lichess.org/5iA4aErC#52,
00t8q,r4rk1/1pp2pbp/2n1bnp1/2q1p3/4P3/1NP2PB1/PQ4PP/1KNR1B1R b - - 0 17,c5b6 g3f2 c6d4 c3d4,1572,74,95,11001,advantage middlegame short,https://lichess.org/o3BszNqL/black#33,Indian_Defense Indian_Defense_Other_variations
00tKA,3rr1k1/q3pp1p/p1p3p1/2P3N1/8/5P2/Q5PP/4n2K b - - 0 37,a7c5 a2f7 g8h8 f7h7,1035,95,82,32,endgame mate mateIn2 short,https://lichess.org/SeeUP8Wx/black#73,
00tN4,r3r1k1/pp3R2/3p1B1P/2pP1b2/1qn5/2N5/PP2QPP1/2K4R w - - 1 24,f7f8 g8f8 h6h7 f5h7,2005,81,71,41,crushing hangingPiece middlegame short,https://lichess.org/aynNRdBA#46,
00tTz,8/p6p/3b2pk/5p1n/2B4q/1P3P2/P5QP/5R1K w - - 10 35,f1d1 h5g3 g2g3 d6g3,1269,76,83,306,crushing endgame pin short,https://lichess.org/cDY5GbVr#68,
00tZP,r2qk2r/1p3ppp/8/2pPPn2/1pPn2b1/3Q1NP1/PP3PBP/RN3RK1 w kq c6 0 14,d5c6 d4f3 d3f3 g4f3,1429,77,95,1622,crushing kingsideAttack middlegame short,https://lichess.org/jHQ12o4d#26,Queens_Gambit_Declined Queens_Gambit_Declined_Albin_Countergambit
00tdc,r1bqk1nr/ppppbppp/2n5/8/2P5/4Q3/PP2PPPP/RNB1KBNR w KQkq - 3 5,e3c3 e7b4 c1d2 b4c3,1025,82,62,106,crushing opening pin short,https://lichess.org/u6d3aV84#8,English_Opening English_Opening_Kings_English_Variation
00tei,5K2/5p2/1np1kb2/p4p2/PpPP4/1B3P2/1P6/2B5 b - - 4 43,b6d7 f8e8 c6c5 d4d5,1369,75,91,1175,crushing endgame master masterVsMaster short,https://lichess.org/kVQ3BvS0/black#85,
00tgU,r4rk1/pbpp2p1/1pn3Qp/3N4/3q1N2/3B4/PP3PPP/5RK1 b - - 5 20,c6e5 d5e7 g8h8 g6h7,1629,77,96,11213,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/uRJyPnFa/black#39,
00tir,r3r2k/pp1q1pp1/2p1p2B/2Pb4/PP1n2P1/3B3Q/5P1P/2RR2K1 b - - 0 28,f7f5 h6e3 h8g8 e3d4,1866,76,96,14518,crushing discoveredAttack middlegame short,https://lichess.org/IIf3FT00/black#55,
00tlr,r2r2k1/p3Rp1p/5Qp1/8/8/2P4P/q4PP1/4R1K1 b - - 1 24,a7a5 h3h4 a2d5 e1e5,2994,101,94,725,crushing endgame quietMove short,https://lichess.org/DFxAKFNR/black#47,
00tsE,2rq1k2/5ppp/p7/1p6/5Q2/2P5/P1P2PPP/4RK2 b - - 7 22,c8c3 f4b4 f8g8 b4c3,1085,78,90,1265,crushing endgame fork short,https://lichess.org/I2FQvxn0/black#43,
00ttk,6k1/ppqn1rp1/2p3Qp/3p1N2/3P1bP1/2P4P/PP1N1P2/R5K1 w - - 4 21,d2f3 d7f8 g6h5 g7g6,1758,73,93,4085,advantage middlegame short,https://lichess.org/urlk8mZq#40,
00tyO,3rr1k1/1p3bb1/1q2p1p1/p1n1Pp1p/P3P2P/1NP3P1/1PQ3B1/R1B1R2K w - - 0 21,c1e3 b6b3 c2b3 c5b3,1339,109,57,36,advantage middlegame short,https://lichess.org/1bg5yGyl#40,
00u0R,3r4/1p2R1k1/7p/P4rpB/8/2n3P1/1q4PP/3R2K1 b - - 1 32,g7g8 d1d8 f5f8 h5f7 g8h8 d8f8,1418,76,83,90,advantage deflection exposedKing hangingPiece long middlegame,https://lichess.org/DiCdSvC5/black#63,
00u3b,rn2kb1r/pbqp1ppp/1p2p3/3nP3/2BP4/5N2/PP2QPPP/RNB1K2R w KQkq - 0 9,b1c3 d5c3 b2c3 b6b5 a1b1 b5c4,2247,79,90,1013,crushing long opening,https://lichess.org/hg1xugvX#16,Sicilian_Defense Sicilian_Defense_Alapin_Variation
00uCX,r5k1/5pp1/q3p2p/pp1pP3/Qn1P4/7P/3B1PP1/R3N1K1 w - - 0 25,a4a5 a6a5 a1a5 a8a5,888,96,65,32,advantage middlegame short,https://lichess.org/ccpOygFq#48,
00uDH,2r5/3k1p2/5Pp1/PP1pP1P1/1K1B3P/5p2/8/8 w - - 1 45,d4c5 c8c5 b4c5 f3f2,1278,75,90,2565,advancedPawn crushing endgame sacrifice short,https://lichess.org/9Hn6Sv3F#88,
00uKb,6k1/p4rp1/8/2p1Bq1p/2P1b3/2P3QP/P5P1/4R1K1 w - - 0 30,g1h2 h5h4 g3h4 f5e5,1467,75,93,1917,advantage deflection endgame short,https://lichess.org/fPrESBF9#58,
00uN7,1n6/3rk3/p2p2p1/N2Bp1P1/1p2PnQ1/1P3P2/P1P4q/1K1R4 w - - 2 33,a5c6 b8c6 d5c6 d7c7,946,87,94,417,crushing middlegame short,https://lichess.org/zQEDLHBB#64,
00ud8,N4rk1/pp3ppp/5n2/3pq3/8/2P5/PP3PPP/R1BQ2K1 w - - 0 18,d1f3 e5e1,702,108,69,32,mate mateIn1 middlegame oneMove,https://lichess.org/Buoveaus#34,Vienna_Game Vienna_Game_Stanley_Variation
00ueM,2kr4/2pR4/2P1K1P1/8/8/p3n3/8/8 b - - 1 49,a3a2 d7d8 c8d8 g6g7 a2a1q g7g8q,1731,76,93,11541,advancedPawn endgame long mate mateIn3 promotion,https://lichess.org/d2IhwIPS/black#97,
00umX,2k3rr/ppp2p2/3b1p2/2pP1q1p/2P2B2/2N2B1b/PP1Q1PP1/R3R1K1 w - - 4 19,f4d6 f5f3 e1e8 c8d7,1720,74,96,2202,crushing middlegame pin short,https://lichess.org/k9gpWj7k#36,
00unD,2kr1bnr/2p2p1p/1pbq2pP/p3N3/P2P4/4B3/1PP2PP1/RN1QK2R b KQ - 0 16,c6g2 d1g4 f7f5 g4g2,1550,77,86,229,crushing fork middlegame short,https://lichess.org/TeO1FnT0/black#31,Modern_Defense Modern_Defense_Other_variations
00uzT,5rk1/3nppbp/1rpp2p1/p1q5/P3PP2/1PNQ4/2PB2PP/3R1RK1 w - - 1 20,d2e3 c5c3 d3c3 g7c3 e3b6 d7b6,1480,74,94,1591,advantage long middlegame,https://lichess.org/liepuQUZ#38,
00v6q,2Q1k3/4qpp1/2pr4/2Np4/3P4/7P/P1P3P1/6K1 b - - 4 34,e7d8 c5b7 d8c8 b7d6 e8d7 d6c8,1927,77,88,192,crushing endgame fork long sacrifice,https://lichess.org/EWyPP874/black#67,
00vKn,8/8/1R6/6k1/6P1/4r2P/r7/5R1K w - - 5 40,f1f6 e3e1 f6f1 e1f1,1194,86,90,54,endgame mate mateIn2 rookEndgame short,https://lichess.org/qsLWpNqw#78,
00vUf,3R4/p4pkp/2p5/6p1/1P1B4/r3PP2/2r3PP/5K2 b - - 6 31,g7g6 d8d6 f7f6 d6f6 g6g7 f6c6,1809,95,86,44,crushing discoveredAttack endgame long,https://lichess.org/87kUHyPW/black#61,
00vXZ,4n1k1/5r2/p1r1p2Q/1p1qP1p1/8/5PP1/P3n1KP/1RB2R2 b - - 0 27,c6c2 h6g6 e8g7 g6c2 f7f3 f1f3,1902,78,86,44,advantage fork long middlegame,https://lichess.org/NIjw0abF/black#53,
00veX,1r3rk1/p4p2/2pq3p/4p1p1/4Pnb1/2PB1PB1/P1Q3PP/3R1RK1 b - - 0 18,d6c5 g3f2 c5a3 f3g4 b8b2 c2c1,1643,74,91,1026,advantage defensiveMove long middlegame,https://lichess.org/pUj3STn8/black#35,Sicilian_Defense Sicilian_Defense_Lowenthal_Variation
